source_id,source_name,candidate_g1,candidate_g1_geometry_class,feasibility_bucket,geometry_available,geometry_path,space_compatibility,direct_validation_feasible,blocking_reason,recommended_next_action
NGIQ-BR-00000452,Area 6d2 (PreCG) left,Left Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000454,Area 6d1 (PreCG) left,Left Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000471,Area 4a (PreCG) right,Right Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000472,Area 4a (PreCG) left,Left Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000499,Area 44 (IFG) right,"Right Inferior Frontal Gyrus, Pars Opercularis",AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000500,Area 44 (IFG) left,"Left Inferior Frontal Gyrus, Pars Opercularis",AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000501,Area 45 (IFG) right,"Right Inferior Frontal Gyrus, Pars Triangularis",AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000502,Area 45 (IFG) left,"Left Inferior Frontal Gyrus, Pars Triangularis",AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000523,Area 8d2 (SFG) right,Right Superior Frontal Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000524,Area 8d2 (SFG) left,Left Superior Frontal Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000525,Area 8d1 (SFG) right,Right Superior Frontal Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000526,Area 8d1 (SFG) left,Left Superior Frontal Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000537,Area Ig3 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000538,Area Ig3 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000539,Area Ig1 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000540,Area Ig1 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000541,Area Ig2 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000542,Area Ig2 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000545,Area Ia1 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000546,Area Ia1 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000549,Area Id2 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000550,Area Id2 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000555,Area Id9 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000556,Area Id9 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000559,Area Id5 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000560,Area Id5 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000561,Area Id6 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000562,Area Id6 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000563,Area Id10 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000565,Area Id4 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000566,Area Id4 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000567,Area Id3 (Insula) right,Right Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000568,Area Id3 (Insula) left,Left Insula,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
