staging_candidate_id,source_g4,source_region_pk,target_g3,target_region_pk,relation,final_decision_match,source_identity_match,target_identity_match,granularity_match,hemisphere_match,coverage_match,target_coverage_semantics_status,mapping_method_valid,lifecycle_valid,rollup_semantics_valid,provenance_complete,candidate_id_valid,review_result,review_reason
G4G3-STAGE-04F6AB2196FEFBE063AF,NGIQ-BR-00000384,985,NGIQ-BR-00000159,477,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-8E904FA27605D9F14B3A,NGIQ-BR-00000384,985,NGIQ-BR-00000201,603,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-51D6AF70D7E08BDD8A65,NGIQ-BR-00000384,985,NGIQ-BR-00000155,465,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-917E6222842B29939E20,NGIQ-BR-00000385,988,NGIQ-BR-00000142,426,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-740AE4604F61C27757F6,NGIQ-BR-00000385,988,NGIQ-BR-00000140,420,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-A9DF8C6AE3A18F254FB9,NGIQ-BR-00000386,991,NGIQ-BR-00000139,417,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-C78151F98391C8F373A4,NGIQ-BR-00000386,991,NGIQ-BR-00000141,423,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-DA17562E88060C90F327,NGIQ-BR-00000387,994,NGIQ-BR-00000158,474,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-82306D44758C2CB8C0B9,NGIQ-BR-00000387,994,NGIQ-BR-00000082,246,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-D63CC10E59F3DA3F95B0,NGIQ-BR-00000388,997,NGIQ-BR-00000081,243,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-55D3450B3D78AA3AC982,NGIQ-BR-00000388,997,NGIQ-BR-00000157,471,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-570DFE76A57144170433,NGIQ-BR-00000389,1000,NGIQ-BR-00000138,414,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-9A3EF196B05D19E99ECE,NGIQ-BR-00000390,1003,NGIQ-BR-00000137,411,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-AB97F360C22DF344B53C,NGIQ-BR-00000390,1003,NGIQ-BR-00000155,465,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2AB9FCE937B04B989184,NGIQ-BR-00000391,1006,NGIQ-BR-00000082,246,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-333FBD2C52D4E9526531,NGIQ-BR-00000391,1006,NGIQ-BR-00000192,576,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B1E7021FA2950FBFCCA4,NGIQ-BR-00000391,1006,NGIQ-BR-00000158,474,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-99FD44B942D39882B23F,NGIQ-BR-00000392,1009,NGIQ-BR-00000191,573,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-A7EEC9FCEFD538B94E2B,NGIQ-BR-00000392,1009,NGIQ-BR-00000081,243,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-143258E98E7AC8350755,NGIQ-BR-00000397,1024,NGIQ-BR-00000164,492,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-C87365907CE214496477,NGIQ-BR-00000397,1024,NGIQ-BR-00000168,504,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2EEF1166415EACBFEFA4,NGIQ-BR-00000398,1027,NGIQ-BR-00000163,489,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B379638E7DF4573875B5,NGIQ-BR-00000398,1027,NGIQ-BR-00000167,501,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-98E375C2AD2019C89BB9,NGIQ-BR-00000398,1027,NGIQ-BR-00000169,507,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-BAE8DC84482D6C3B65DF,NGIQ-BR-00000403,1042,NGIQ-BR-00000154,462,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-71DD9AC844CAA25FF053,NGIQ-BR-00000403,1042,NGIQ-BR-00000166,498,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-EDC76FF2361EF1495D9A,NGIQ-BR-00000404,1045,NGIQ-BR-00000153,459,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-BB5702D1388768329AD5,NGIQ-BR-00000405,1048,NGIQ-BR-00000014,42,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-EF3AD8E2064430166C75,NGIQ-BR-00000405,1048,NGIQ-BR-00000154,462,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E8AC3C1F08CA64186881,NGIQ-BR-00000406,1051,NGIQ-BR-00000013,39,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-17D063EB635479FB2750,NGIQ-BR-00000407,1054,NGIQ-BR-00000166,498,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-6C4EF12D14960657AB1F,NGIQ-BR-00000407,1054,NGIQ-BR-00000178,534,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-4814302E8540561FA12E,NGIQ-BR-00000408,1057,NGIQ-BR-00000165,495,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E97CBA6FA2BD65A88C23,NGIQ-BR-00000408,1057,NGIQ-BR-00000177,531,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B62BDB01A41BF97B9261,NGIQ-BR-00000409,1060,NGIQ-BR-00000166,498,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-7380BC6407F65109E904,NGIQ-BR-00000410,1063,NGIQ-BR-00000165,495,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-961C90C88C13E40E336D,NGIQ-BR-00000411,1066,NGIQ-BR-00000154,462,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-FF040C1A10F2882F8EF9,NGIQ-BR-00000412,1069,NGIQ-BR-00000149,447,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-64C3271277368339EC50,NGIQ-BR-00000412,1069,NGIQ-BR-00000153,459,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-37FD4F92A4BFF712B36F,NGIQ-BR-00000412,1069,NGIQ-BR-00000147,441,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E171282AABEA31D0AB79,NGIQ-BR-00000413,1072,NGIQ-BR-00000154,462,contained_in,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-76AC7F46E538D68B62BD,NGIQ-BR-00000414,1075,NGIQ-BR-00000153,459,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-CCFD4AC4FFD0B5FC18D5,NGIQ-BR-00000415,1078,NGIQ-BR-00000152,456,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B81687F46052321676A7,NGIQ-BR-00000416,1081,NGIQ-BR-00000149,447,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-3450F4778505820E40E7,NGIQ-BR-00000416,1081,NGIQ-BR-00000151,453,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-966ABF259C66BAAFD98C,NGIQ-BR-00000416,1081,NGIQ-BR-00000145,435,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-C181A574F008F9B5BADB,NGIQ-BR-00000417,1084,NGIQ-BR-00000148,444,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-397A134B8157A4E0D58F,NGIQ-BR-00000417,1084,NGIQ-BR-00000168,504,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E98CBC4E56990E4CDA43,NGIQ-BR-00000418,1087,NGIQ-BR-00000147,441,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-F1D60764B00F01CFDF65,NGIQ-BR-00000419,1090,NGIQ-BR-00000150,450,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-28E4027BF2E2EAFB0E08,NGIQ-BR-00000420,1093,NGIQ-BR-00000149,447,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-3C7D9296E77EE0D0D460,NGIQ-BR-00000421,1096,NGIQ-BR-00000152,456,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-843BECAFA86429B87A10,NGIQ-BR-00000421,1096,NGIQ-BR-00000012,36,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-C14E39265619A1CB26B8,NGIQ-BR-00000421,1096,NGIQ-BR-00000146,438,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-CAF92AA4292A903B1DEF,NGIQ-BR-00000422,1099,NGIQ-BR-00000151,453,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-F013F9C881316A0A37F9,NGIQ-BR-00000423,1102,NGIQ-BR-00000154,462,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-38A4FA468CA84998A733,NGIQ-BR-00000423,1102,NGIQ-BR-00000166,498,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E6BFA1B934EAE926851E,NGIQ-BR-00000423,1102,NGIQ-BR-00000148,444,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-6A450B3D54F65AF0EA2B,NGIQ-BR-00000424,1105,NGIQ-BR-00000153,459,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-464C6C4BA8765ABF280C,NGIQ-BR-00000425,1108,NGIQ-BR-00000212,636,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2CBBEDBD9A36BBD50CD8,NGIQ-BR-00000425,1108,NGIQ-BR-00000214,642,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-897F74CE6FF675C5F02D,NGIQ-BR-00000425,1108,NGIQ-BR-00000160,480,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-5489A3088628EE06A0D1,NGIQ-BR-00000428,1117,NGIQ-BR-00000145,435,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-A5C759E3735CCAA6D7AB,NGIQ-BR-00000428,1117,NGIQ-BR-00000139,417,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-73D6486BFE7920B35951,NGIQ-BR-00000428,1117,NGIQ-BR-00000147,441,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-98EDAFA5DB653D977B9C,NGIQ-BR-00000429,1120,NGIQ-BR-00000214,642,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-068955D7A04134163514,NGIQ-BR-00000430,1123,NGIQ-BR-00000213,639,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-1D2BC6E4039F1F60B40C,NGIQ-BR-00000431,1126,NGIQ-BR-00000140,420,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E4F0DF3CB621896A743C,NGIQ-BR-00000431,1126,NGIQ-BR-00000144,432,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-639B7C6DD52458E6EE5D,NGIQ-BR-00000431,1126,NGIQ-BR-00000148,444,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-8E0C582AADF1545C3D84,NGIQ-BR-00000432,1129,NGIQ-BR-00000139,417,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-C00C7F419DB9364292C5,NGIQ-BR-00000432,1129,NGIQ-BR-00000143,429,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-FB3D9FDEC6A167621765,NGIQ-BR-00000433,1132,NGIQ-BR-00000148,444,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-8F008CB3DD4F7A3F7075,NGIQ-BR-00000434,1135,NGIQ-BR-00000147,441,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-CAA28FAFAA5989A572C6,NGIQ-BR-00000435,1138,NGIQ-BR-00000012,36,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B3E7BDEF051C7FE9F78B,NGIQ-BR-00000436,1141,NGIQ-BR-00000011,33,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-82D79F1E876C743B7533,NGIQ-BR-00000437,1144,NGIQ-BR-00000146,438,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-49C3AAFAD9265D644BC0,NGIQ-BR-00000437,1144,NGIQ-BR-00000214,642,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-67D12187E8555F7BE667,NGIQ-BR-00000438,1147,NGIQ-BR-00000213,639,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B59EFFE66C72A7C594CB,NGIQ-BR-00000438,1147,NGIQ-BR-00000011,33,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B517A9A3EE0E3985C0ED,NGIQ-BR-00000439,1150,NGIQ-BR-00000146,438,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B20D362A06EF3804694F,NGIQ-BR-00000440,1153,NGIQ-BR-00000145,435,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-CF58C4837B67C1A57DCB,NGIQ-BR-00000441,1156,NGIQ-BR-00000214,642,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-5855601DDD322B41FA97,NGIQ-BR-00000442,1159,NGIQ-BR-00000213,639,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2FD00A45C489970193CD,NGIQ-BR-00000442,1159,NGIQ-BR-00000137,411,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-1C3B4605223D6BAD170B,NGIQ-BR-00000443,1162,NGIQ-BR-00000080,240,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-9F4DD106F0A02DBDAEE6,NGIQ-BR-00000443,1162,NGIQ-BR-00000070,210,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B78BEE4CD212FF792BE2,NGIQ-BR-00000444,1165,NGIQ-BR-00000079,237,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-0AF9C6D93AB46EE79717,NGIQ-BR-00000445,1168,NGIQ-BR-00000080,240,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-9FE749E967CDF39BB873,NGIQ-BR-00000445,1168,NGIQ-BR-00000036,108,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-12DC6F9D3CC5E572C488,NGIQ-BR-00000446,1171,NGIQ-BR-00000079,237,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-6350C252C30472AC9219,NGIQ-BR-00000446,1171,NGIQ-BR-00000035,105,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-FE9B445BBA09D8E1D017,NGIQ-BR-00000447,1174,NGIQ-BR-00000080,240,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2646269AD570FEF5776A,NGIQ-BR-00000447,1174,NGIQ-BR-00000078,234,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-971914CB1702A06FB5A0,NGIQ-BR-00000447,1174,NGIQ-BR-00000056,168,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-0AE3EED2AB0A7C0D58D4,NGIQ-BR-00000448,1177,NGIQ-BR-00000079,237,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-122CAF482FA68BF64CDF,NGIQ-BR-00000448,1177,NGIQ-BR-00000055,165,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-A76D13B4B75F5F849AC9,NGIQ-BR-00000448,1177,NGIQ-BR-00000077,231,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-7DE128ABFB487668D22A,NGIQ-BR-00000449,1180,NGIQ-BR-00000072,216,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-6C779C0CC7BAC06CA909,NGIQ-BR-00000449,1180,NGIQ-BR-00000044,132,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-D3A0F5A86454CD719ADB,NGIQ-BR-00000450,1183,NGIQ-BR-00000043,129,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-63B22C9D00C00E686151,NGIQ-BR-00000450,1183,NGIQ-BR-00000071,213,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-FAC1DBBD4B1323D26F31,NGIQ-BR-00000451,1186,NGIQ-BR-00000026,78,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-1BB784744DB827539F27,NGIQ-BR-00000453,1192,NGIQ-BR-00000072,216,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-777003612201250A4E72,NGIQ-BR-00000453,1192,NGIQ-BR-00000028,84,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-D1DC9B7E1E066CC38C70,NGIQ-BR-00000453,1192,NGIQ-BR-00000076,228,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-A403D7E4FAAC8E9C398D,NGIQ-BR-00000455,1198,NGIQ-BR-00000002,6,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-D1A84B38E0A6A9577432,NGIQ-BR-00000456,1201,NGIQ-BR-00000001,3,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-2D31FC4FC4BE6BF29C84,NGIQ-BR-00000456,1201,NGIQ-BR-00000027,81,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-4E099AB808D78EF3BDFA,NGIQ-BR-00000457,1204,NGIQ-BR-00000046,138,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
