canonical_g4_id,canonical_g4_name,hemisphere,hard_top1_coverage,hard_total_bna_coverage,effective_target_count,selected_target_count,selected_cumulative_coverage,selected_targets_detail,revised_stratum,owner_action,decision_policy_version
NGIQ-BR-00000395,Area 3b (PostCG) right,right,0.44187418,0.78982936,4.0313,1,0.4419,"NGIQ-BR-00000164(PoG_R_4_1,hard=0.442,ppRank=1,pp=1390.241)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000396,Area 3b (PostCG) left,left,0.38841742,0.81233076,4.8647,1,0.3884,"NGIQ-BR-00000163(PoG_L_4_1,hard=0.388,ppRank=1,pp=2361.119)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000399,Area 2 (PostCS) right,right,0.48672314,0.90351792,4.2375,1,0.4867,"NGIQ-BR-00000168(PoG_R_4_3,hard=0.487,ppRank=1,pp=1735.989)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000400,Area 2 (PostCS) left,left,0.46937888,0.82378083,3.852,1,0.4694,"NGIQ-BR-00000167(PoG_L_4_3,hard=0.469,ppRank=1,pp=1396.865)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000401,Area 3a (PostCG) right,right,0.24329428,0.43590376,3.1123,1,0.2433,"NGIQ-BR-00000070(PrG_R_6_1,hard=0.243,ppRank=1,pp=206.456)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000402,Area 3a (PostCG) left,left,0.22707158,0.53920129,3.1949,3,0.5282,"NGIQ-BR-00000069(PrG_L_6_1,hard=0.227,ppRank=1,pp=337.144); NGIQ-BR-00000073(PrG_L_6_3,hard=0.151,ppRank=3,pp=233.651); NGIQ-BR-00000163(PoG_L_4_1,hard=0.150,ppRank=2,pp=251.348)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000423,Area PFop (IPL) right,right,0.30645752,0.81965509,4.1306,3,0.6841,"NGIQ-BR-00000154(IPL_R_6_6,hard=0.306,ppRank=1,pp=458.302); NGIQ-BR-00000166(PoG_R_4_2,hard=0.216,ppRank=3,pp=214.577); NGIQ-BR-00000148(IPL_R_6_3,hard=0.162,ppRank=2,pp=324.437)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000426,Area hPO1 (POS) left,left,0.27805755,0.87248339,4.7957,2,0.5098,"NGIQ-BR-00000211(LOcC_L_2_1,hard=0.278,ppRank=1,pp=483.463); NGIQ-BR-00000213(LOcC_L_2_2,hard=0.232,ppRank=2,pp=428.594)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000427,Area hIP1 (IPS) right,right,0.43161909,0.76482933,3.9485,1,0.4316,"NGIQ-BR-00000148(IPL_R_6_3,hard=0.432,ppRank=1,pp=691.766)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000428,Area hIP1 (IPS) left,left,0.33393167,0.77493826,3.4713,3,0.7338,"NGIQ-BR-00000145(IPL_L_6_2,hard=0.334,ppRank=1,pp=636.437); NGIQ-BR-00000139(SPL_L_5_3,hard=0.239,ppRank=2,pp=546.374); NGIQ-BR-00000147(IPL_L_6_3,hard=0.161,ppRank=3,pp=473.243)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000431,Area hIP3 (IPS) right,right,0.28156756,0.91807508,5.0701,3,0.756,"NGIQ-BR-00000140(SPL_R_5_3,hard=0.282,ppRank=1,pp=1169.948); NGIQ-BR-00000144(SPL_R_5_5,hard=0.249,ppRank=2,pp=789.788); NGIQ-BR-00000148(IPL_R_6_3,hard=0.226,ppRank=3,pp=249.314)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000448,Area 6r1 (PreCG) left,left,0.42784395,0.90838918,3.8814,3,0.7551,"NGIQ-BR-00000079(PrG_L_6_6,hard=0.428,ppRank=1,pp=368.326); NGIQ-BR-00000055(IFG_L_6_6,hard=0.168,ppRank=4,pp=177.914); NGIQ-BR-00000077(PrG_L_6_5,hard=0.159,ppRank=2,pp=190.800)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000452,Area 6d2 (PreCG) left,left,0.49190954,0.87016822,3.7629,1,0.4919,"NGIQ-BR-00000025(SFG_L_7_4,hard=0.492,ppRank=1,pp=1278.205)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000453,Area 6d1 (PreCG) right,right,0.32640225,0.81912089,4.5592,3,0.6686,"NGIQ-BR-00000072(PrG_R_6_2,hard=0.326,ppRank=1,pp=853.477); NGIQ-BR-00000028(SFG_R_7_5,hard=0.179,ppRank=2,pp=633.199); NGIQ-BR-00000076(PrG_R_6_4,hard=0.164,ppRank=3,pp=614.377)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000454,Area 6d1 (PreCG) left,left,0.30665537,0.84046723,5.1226,2,0.5413,"NGIQ-BR-00000071(PrG_L_6_2,hard=0.307,ppRank=1,pp=1384.575); NGIQ-BR-00000025(SFG_L_7_4,hard=0.235,ppRank=2,pp=1193.388)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000471,Area 4a (PreCG) right,right,0.17430741,0.82908658,7.5134,2,0.3434,"NGIQ-BR-00000074(PrG_R_6_3,hard=0.174,ppRank=1,pp=1502.094); NGIQ-BR-00000084(PCL_R_2_2,hard=0.169,ppRank=2,pp=1248.906)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000472,Area 4a (PreCG) left,left,0.36470955,0.80975973,4.302,2,0.5544,"NGIQ-BR-00000083(PCL_L_2_2,hard=0.365,ppRank=1,pp=863.214); NGIQ-BR-00000073(PrG_L_6_3,hard=0.190,ppRank=2,pp=469.810)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000482,Area Op9 (Frontal Operculum) left,left,0.3953067,0.82217986,3.5903,3,0.7505,"NGIQ-BR-00000053(IFG_L_6_5,hard=0.395,ppRank=1,pp=404.545); NGIQ-BR-00000051(IFG_L_6_4,hard=0.186,ppRank=2,pp=249.993); NGIQ-BR-00000049(IFG_L_6_3,hard=0.169,ppRank=3,pp=217.257)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000488,Area IFS2 (IFS) left,left,0.48725168,0.84375814,3.6252,1,0.4873,"NGIQ-BR-00000047(IFG_L_6_2,hard=0.487,ppRank=1,pp=129.228)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000489,Area IFS1 (IFS) right,right,0.19628592,0.62167507,4.9965,2,0.3523,"NGIQ-BR-00000040(MFG_R_7_4,hard=0.196,ppRank=1,pp=188.578); NGIQ-BR-00000042(MFG_R_7_5,hard=0.156,ppRank=2,pp=170.927)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000500,Area 44 (IFG) left,left,0.19384061,0.89579359,7.7164,3,0.5166,"NGIQ-BR-00000049(IFG_L_6_3,hard=0.194,ppRank=1,pp=892.298); NGIQ-BR-00000079(PrG_L_6_6,hard=0.168,ppRank=4,pp=680.051); NGIQ-BR-00000055(IFG_L_6_6,hard=0.155,ppRank=2,pp=774.309)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000501,Area 45 (IFG) right,right,0.23849956,0.95864757,7.0019,3,0.6252,"NGIQ-BR-00000048(IFG_R_6_2,hard=0.238,ppRank=1,pp=1079.207); NGIQ-BR-00000050(IFG_R_6_3,hard=0.228,ppRank=2,pp=846.134); NGIQ-BR-00000052(IFG_R_6_4,hard=0.159,ppRank=3,pp=662.363)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000502,Area 45 (IFG) left,left,0.34086402,0.94387945,5.7776,3,0.7102,"NGIQ-BR-00000047(IFG_L_6_2,hard=0.341,ppRank=1,pp=962.190); NGIQ-BR-00000049(IFG_L_6_3,hard=0.206,ppRank=2,pp=646.905); NGIQ-BR-00000039(MFG_L_7_4,hard=0.163,ppRank=3,pp=451.601)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000505,Area 8v1 (MFG) right,right,0.30230103,0.97216556,4.4674,4,0.9347,"NGIQ-BR-00000042(MFG_R_7_5,hard=0.302,ppRank=1,pp=597.664); NGIQ-BR-00000034(MFG_R_7_1,hard=0.266,ppRank=2,pp=540.702); NGIQ-BR-00000022(SFG_R_7_2,hard=0.204,ppRank=3,pp=451.720); NGIQ-BR-00000044(MFG_R_7_6,hard=0.162,ppRank=4,pp=445.249)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000514,Area 6d3 (SFS) left,left,0.2344765,0.66731193,4.5393,2,0.4107,"NGIQ-BR-00000043(MFG_L_7_6,hard=0.234,ppRank=1,pp=656.114); NGIQ-BR-00000025(SFG_L_7_4,hard=0.176,ppRank=2,pp=637.973)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000555,Area Id9 (Insula) right,right,0.29718009,0.9563735,5.0282,4,0.8808,"NGIQ-BR-00000176(INS_R_6_4,hard=0.297,ppRank=1,pp=172.087); NGIQ-BR-00000180(INS_R_6_6,hard=0.229,ppRank=2,pp=166.979); NGIQ-BR-00000172(INS_R_6_2,hard=0.198,ppRank=4,pp=154.410); NGIQ-BR-00000174(INS_R_6_3,hard=0.156,ppRank=3,pp=161.799)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000573,Area OTS1 (OTS) right,right,0.43371339,0.87272523,3.7939,2,0.5842,"NGIQ-BR-00000114(ITG_R_7_7,hard=0.434,ppRank=1,pp=336.298); NGIQ-BR-00000116(FuG_R_3_1,hard=0.151,ppRank=3,pp=165.303)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000574,Area OTS1 (OTS) left,left,0.29709464,0.69844932,3.6897,2,0.5023,"NGIQ-BR-00000101(ITG_L_7_1,hard=0.297,ppRank=1,pp=218.954); NGIQ-BR-00000113(ITG_L_7_7,hard=0.205,ppRank=2,pp=146.795)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000576,Area Te 3 (STG) left,left,0.28103271,0.9909659,6.4574,3,0.6844,"NGIQ-BR-00000093(STG_L_6_6,hard=0.281,ppRank=1,pp=494.294); NGIQ-BR-00000087(STG_L_6_3,hard=0.238,ppRank=2,pp=473.233); NGIQ-BR-00000089(STG_L_6_4,hard=0.166,ppRank=3,pp=385.050)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000578,Area Te 2.2 (STG) left,left,0.46161237,0.80442785,3.7391,1,0.4616,"NGIQ-BR-00000085(STG_L_6_2,hard=0.462,ppRank=1,pp=904.119)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000581,Area Te 1.1 (HESCHL) right,right,0.37445984,0.89409412,3.6718,3,0.7941,"NGIQ-BR-00000088(STG_R_6_3,hard=0.374,ppRank=1,pp=352.163); NGIQ-BR-00000086(STG_R_6_2,hard=0.216,ppRank=2,pp=291.994); NGIQ-BR-00000154(IPL_R_6_6,hard=0.204,ppRank=3,pp=134.737)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000589,Area Ph2 (PhG) right,right,0.31327657,0.89772392,5.1667,2,0.5413,"NGIQ-BR-00000116(FuG_R_3_1,hard=0.313,ppRank=1,pp=340.214); NGIQ-BR-00000126(PhG_R_6_3,hard=0.228,ppRank=3,pp=203.892)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000590,Area Ph2 (PhG) left,left,0.4094425,0.90304437,5.1134,2,0.5674,"NGIQ-BR-00000115(FuG_L_3_1,hard=0.409,ppRank=1,pp=469.965); NGIQ-BR-00000125(PhG_L_6_3,hard=0.158,ppRank=2,pp=209.564)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000604,Area FG3 (FusG) left,left,0.38218748,0.88503183,4.05,3,0.7478,"NGIQ-BR-00000117(FuG_L_3_2,hard=0.382,ppRank=1,pp=911.905); NGIQ-BR-00000115(FuG_L_3_1,hard=0.192,ppRank=2,pp=856.733); NGIQ-BR-00000119(FuG_L_3_3,hard=0.174,ppRank=3,pp=414.475)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000610,"Area TPJ (STG, SMG) left",left,0.25598701,0.91654299,4.7641,3,0.7277,"NGIQ-BR-00000085(STG_L_6_2,hard=0.256,ppRank=1,pp=589.827); NGIQ-BR-00000153(IPL_L_6_6,hard=0.253,ppRank=2,pp=514.334); NGIQ-BR-00000089(STG_L_6_4,hard=0.218,ppRank=3,pp=501.778)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000613,"Area hOc1 (V1, 17, CalcS) right",right,0.21428879,0.87884022,6.154,3,0.5662,"NGIQ-BR-00000196(MVOcC_R_5_2,hard=0.214,ppRank=1,pp=1970.953); NGIQ-BR-00000202(MVOcC_R_5_5,hard=0.187,ppRank=2,pp=1787.829); NGIQ-BR-00000208(LOcC_R_4_3,hard=0.165,ppRank=5,pp=1291.455)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000614,"Area hOc1 (V1, 17, CalcS) left",left,0.23309793,0.91380008,5.6706,3,0.6517,"NGIQ-BR-00000197(MVOcC_L_5_3,hard=0.233,ppRank=1,pp=1877.148); NGIQ-BR-00000195(MVOcC_L_5_2,hard=0.230,ppRank=2,pp=1872.084); NGIQ-BR-00000201(MVOcC_L_5_5,hard=0.189,ppRank=3,pp=1360.195)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000619,Area hOc3d (Cuneus) right,right,0.27313079,0.92853797,5.8177,2,0.462,"NGIQ-BR-00000212(LOcC_R_2_1,hard=0.273,ppRank=1,pp=738.846); NGIQ-BR-00000208(LOcC_R_4_3,hard=0.189,ppRank=2,pp=542.923)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000624,Area hOc4v (LingG) left,left,0.38170513,0.94835659,3.8846,4,0.9437,"NGIQ-BR-00000209(LOcC_L_4_4,hard=0.382,ppRank=1,pp=879.068); NGIQ-BR-00000117(FuG_L_3_2,hard=0.217,ppRank=2,pp=651.972); NGIQ-BR-00000015(MVOcC_L_5_1,hard=0.179,ppRank=3,pp=587.323); NGIQ-BR-00000199(MVOcC_L_5_4,hard=0.166,ppRank=4,pp=566.619)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000647,Area 33 (ACC) right,right,0.34547233,0.65519333,4.145,1,0.3455,"NGIQ-BR-00000184(CG_R_7_2,hard=0.345,ppRank=1,pp=251.894)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000648,Area 33 (ACC) left,left,0.23230956,0.55896244,4.3833,2,0.4,"NGIQ-BR-00000183(CG_L_7_2,hard=0.232,ppRank=1,pp=134.147); NGIQ-BR-00000185(CG_L_7_3,hard=0.168,ppRank=2,pp=113.087)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000667,"TrS (Hippocampus, Transsubiculum) right",right,0.43747561,0.84319913,4.6694,1,0.4375,"NGIQ-BR-00000132(PhG_R_6_6,hard=0.437,ppRank=1,pp=118.498)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000668,"TrS (Hippocampus, Transsubiculum) left",left,0.45788102,0.81236958,4.2797,1,0.4579,"NGIQ-BR-00000131(PhG_L_6_6,hard=0.458,ppRank=1,pp=123.727)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000681,"Area EC (Hippocampal Region, Entorhinal Cortex) right",right,0.22129774,0.97200332,7.2902,3,0.566,"NGIQ-BR-00000122(PhG_R_6_1,hard=0.221,ppRank=1,pp=542.822); NGIQ-BR-00000116(FuG_R_3_1,hard=0.173,ppRank=3,pp=468.449); NGIQ-BR-00000130(PhG_R_6_5,hard=0.172,ppRank=2,pp=510.311)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000682,"Area EC (Hippocampal Region, Entorhinal Cortex) left",left,0.24699715,0.96828721,6.9977,3,0.6011,"NGIQ-BR-00000121(PhG_L_6_1,hard=0.247,ppRank=1,pp=486.548); NGIQ-BR-00000115(FuG_L_3_1,hard=0.190,ppRank=2,pp=426.531); NGIQ-BR-00000127(PhG_L_6_4,hard=0.164,ppRank=4,pp=373.925)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000707,"Rt (Thalamus, reticular Nucleus) right",right,0.1243819,0.45056332,6.1868,0,0.0,,LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000711,CGM (Metathalamus) right,right,0.10044976,0.19540634,3.5106,0,0.0,,LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000712,CGM (Metathalamus) left,left,0.19126913,0.36854755,3.4055,1,0.1913,"NGIQ-BR-00000239(Tha_L_8_5,hard=0.191,ppRank=1,pp=30.580)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000714,CGL (Metathalamus) left,left,0.21054549,0.38297151,3.2002,1,0.2105,"NGIQ-BR-00000017(Hipp_L_2_1,hard=0.211,ppRank=1,pp=86.448)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000721,"Po (Thalamus, posterior Nucleus) right",right,0.38129682,0.68218531,4.0951,1,0.3813,"NGIQ-BR-00000240(Tha_R_8_5,hard=0.381,ppRank=1,pp=53.324)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000722,"Po (Thalamus, posterior Nucleus) left",left,0.3726626,0.76136079,3.3977,3,0.7214,"NGIQ-BR-00000239(Tha_L_8_5,hard=0.373,ppRank=1,pp=45.329); NGIQ-BR-00000241(Tha_L_8_6,hard=0.198,ppRank=2,pp=29.490); NGIQ-BR-00000235(Tha_L_8_3,hard=0.150,ppRank=3,pp=23.188)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000727,"Li (Thalamus, limitans Nucleus) right",right,0.21927062,0.43315055,4.5135,1,0.2193,"NGIQ-BR-00000240(Tha_R_8_5,hard=0.219,ppRank=1,pp=32.662)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000728,"Li (Thalamus, limitans Nucleus) left",left,0.19530442,0.41660903,3.8111,1,0.1953,"NGIQ-BR-00000239(Tha_L_8_5,hard=0.195,ppRank=1,pp=19.564)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000729,"Sg (Thalamus, suprageniculate Nucleus) right",right,0.10574786,0.29184143,5.0975,0,0.0,,LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000730,"Sg (Thalamus, suprageniculate Nucleus) left",left,0.16528029,0.32563486,3.4157,1,0.1653,"NGIQ-BR-00000239(Tha_L_8_5,hard=0.165,ppRank=1,pp=17.904)",LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000731,"LP (Thalamus, lateral posterior Nucleus) right",right,0.32915434,0.87077461,4.4768,2,0.5563,"NGIQ-BR-00000240(Tha_R_8_5,hard=0.329,ppRank=1,pp=100.720); NGIQ-BR-00000244(Tha_R_8_7,hard=0.227,ppRank=2,pp=69.584)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000734,"PUi (Thalamus, inferior pulvinar) left",left,0.27340882,0.75000946,4.207,2,0.5112,"NGIQ-BR-00000219(Hipp_L_2_2,hard=0.273,ppRank=1,pp=64.892); NGIQ-BR-00000241(Tha_L_8_6,hard=0.238,ppRank=3,pp=44.708)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000750,"VLP (Thalamus, ventral lateral posterior Nucleus) left",left,0.40433454,0.98108781,5.4702,2,0.5966,"NGIQ-BR-00000245(Tha_L_8_8,hard=0.404,ppRank=1,pp=491.431); NGIQ-BR-00000239(Tha_L_8_5,hard=0.192,ppRank=2,pp=291.505)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
