parcel_id,g3_entity_id,g3_name_en,g3_name_zh,official_code,official_modified_name,seed_mask,seed_dk_constituents,candidate_g1,hemisphere,current_human_decision,review_basis
118,NGIQ-BR-00000130,"Right Parahippocampal gyrus, Brainnetome 6_5",右侧海马旁回（Brainnetome 6-5）,PhG_R_6_5,area TI(temporal agranular insular cortex),PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
119,NGIQ-BR-00000131,"Left Parahippocampal gyrus, Brainnetome 6_6",左侧海马旁回（Brainnetome 6-6）,PhG_L_6_6,area TH (medial PPHC),PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
120,NGIQ-BR-00000132,"Right Parahippocampal gyrus, Brainnetome 6_6",右侧海马旁回（Brainnetome 6-6）,PhG_R_6_6,area TH (medial PPHC),PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
135,NGIQ-BR-00000011,"Left Inferior parietal lobule, Brainnetome 6_1",左侧顶下小叶（Brainnetome 6-1）,IPL_L_6_1,caudal area 39(PGp),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
136,NGIQ-BR-00000012,"Right Inferior parietal lobule, Brainnetome 6_1",右侧顶下小叶（Brainnetome 6-1）,IPL_R_6_1,caudal area 39(PGp),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
137,NGIQ-BR-00000145,"Left Inferior parietal lobule, Brainnetome 6_2",左侧顶下小叶（Brainnetome 6-2）,IPL_L_6_2,rostrodorsal area 39(Hip3),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
138,NGIQ-BR-00000146,"Right Inferior parietal lobule, Brainnetome 6_2",右侧顶下小叶（Brainnetome 6-2）,IPL_R_6_2,rostrodorsal area 39(Hip3),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
139,NGIQ-BR-00000147,"Left Inferior parietal lobule, Brainnetome 6_3",左侧顶下小叶（Brainnetome 6-3）,IPL_L_6_3,rostrodorsal area 40(PFt),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
140,NGIQ-BR-00000148,"Right Inferior parietal lobule, Brainnetome 6_3",右侧顶下小叶（Brainnetome 6-3）,IPL_R_6_3,rostrodorsal area 40(PFt),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
141,NGIQ-BR-00000149,"Left Inferior parietal lobule, Brainnetome 6_4",左侧顶下小叶（Brainnetome 6-4）,IPL_L_6_4,caudal area 40(PFm),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
142,NGIQ-BR-00000150,"Right Inferior parietal lobule, Brainnetome 6_4",右侧顶下小叶（Brainnetome 6-4）,IPL_R_6_4,caudal area 40(PFm),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
143,NGIQ-BR-00000151,"Left Inferior parietal lobule, Brainnetome 6_5",左侧顶下小叶（Brainnetome 6-5）,IPL_L_6_5,rostroventral area 39(PGa),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
144,NGIQ-BR-00000152,"Right Inferior parietal lobule, Brainnetome 6_5",右侧顶下小叶（Brainnetome 6-5）,IPL_R_6_5,rostroventral area 39(PGa),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
145,NGIQ-BR-00000153,"Left Inferior parietal lobule, Brainnetome 6_6",左侧顶下小叶（Brainnetome 6-6）,IPL_L_6_6,rostroventral area 40(PFop),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
146,NGIQ-BR-00000154,"Right Inferior parietal lobule, Brainnetome 6_6",右侧顶下小叶（Brainnetome 6-6）,IPL_R_6_6,rostroventral area 40(PFop),IPL,Inferior Parietal Lobule; Supramarginal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
175,NGIQ-BR-00000181,"Left Cingulate gyrus, Brainnetome 7_1",左侧扣带回（Brainnetome 7-1）,CG_L_7_1,dorsal area 23,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
176,NGIQ-BR-00000182,"Right Cingulate gyrus, Brainnetome 7_1",右侧扣带回（Brainnetome 7-1）,CG_R_7_1,dorsal area 23,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
177,NGIQ-BR-00000183,"Left Cingulate gyrus, Brainnetome 7_2",左侧扣带回（Brainnetome 7-2）,CG_L_7_2,rostroventral area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
178,NGIQ-BR-00000184,"Right Cingulate gyrus, Brainnetome 7_2",右侧扣带回（Brainnetome 7-2）,CG_R_7_2,rostroventral area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
179,NGIQ-BR-00000185,"Left Cingulate gyrus, Brainnetome 7_3",左侧扣带回（Brainnetome 7-3）,CG_L_7_3,pregenual area 32,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
180,NGIQ-BR-00000186,"Right Cingulate gyrus, Brainnetome 7_3",右侧扣带回（Brainnetome 7-3）,CG_R_7_3,pregenual area 32,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
181,NGIQ-BR-00000187,"Left Cingulate gyrus, Brainnetome 7_4",左侧扣带回（Brainnetome 7-4）,CG_L_7_4,ventral area 23,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
182,NGIQ-BR-00000188,"Right Cingulate gyrus, Brainnetome 7_4",右侧扣带回（Brainnetome 7-4）,CG_R_7_4,ventral area 23,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
183,NGIQ-BR-00000189,"Left Cingulate gyrus, Brainnetome 7_5",左侧扣带回（Brainnetome 7-5）,CG_L_7_5,caudodorsal area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
184,NGIQ-BR-00000190,"Right Cingulate gyrus, Brainnetome 7_5",右侧扣带回（Brainnetome 7-5）,CG_R_7_5,caudodorsal area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
185,NGIQ-BR-00000191,"Left Cingulate gyrus, Brainnetome 7_6",左侧扣带回（Brainnetome 7-6）,CG_L_7_6,caudal area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
186,NGIQ-BR-00000192,"Right Cingulate gyrus, Brainnetome 7_6",右侧扣带回（Brainnetome 7-6）,CG_R_7_6,caudal area 24,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
187,NGIQ-BR-00000193,"Left Cingulate gyrus, Brainnetome 7_7",左侧扣带回（Brainnetome 7-7）,CG_L_7_7,subgenual area 32,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
