biological_pair_id,hemisphere,parcel_id,g3_entity_id,official_code,official_modified_name,seed_mask_code,seed_type,historical_decision,effective_scientific_decision,decision_source,primary_target_g1,evidence_targets_g1,rollup_eligible,is_primary_rollup,proposed_mapping_relation,decision_reason,review_phase,decision_provenance
MFG_7_6,left,25,NGIQ-BR-00000043,MFG_L_7_6,ventrolateral area 6,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus;Precentral Gyrus;Superior Frontal Gyrus,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_6"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventrolateral area 6"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""caudalmiddlefrontal"", ""top1_g1"": ""Left Caudal Middle Frontal Gyrus"", ""top1_g1_coverage"": ""0.964172"", ""top2_dk"": ""superiorfrontal"", ""top2_dk_coverage"": ""0.029459"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_6,right,26,NGIQ-BR-00000044,MFG_R_7_6,ventrolateral area 6,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus;Precentral Gyrus;Superior Frontal Gyrus,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_6"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventrolateral area 6"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""caudalmiddlefrontal"", ""top1_g1"": ""Right Caudal Middle Frontal Gyrus"", ""top1_g1_coverage"": ""0.958541"", ""top2_dk"": ""superiorfrontal"", ""top2_dk_coverage"": ""0.04063"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_7,left,27,NGIQ-BR-00000045,MFG_L_7_7,lateral area 10,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,"Inferior Frontal Gyrus, Pars Orbitalis;Lateral Orbitofrontal Cortex;Rostral Middle Frontal Cortex;Superior Frontal Gyrus",TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_7"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""lateral area 10"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Left Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.932464"", ""top2_dk"": ""superiorfrontal"", ""top2_dk_coverage"": ""0.031466"", ""non_g1_dk_coverage"": ""0.002302""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_7,right,28,NGIQ-BR-00000046,MFG_R_7_7,lateral area 10,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,"Inferior Frontal Gyrus, Pars Orbitalis;Lateral Orbitofrontal Cortex;Rostral Middle Frontal Cortex;Superior Frontal Gyrus",TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_7"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""lateral area 10"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Right Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.93571"", ""top2_dk"": ""parsorbitalis"", ""top2_dk_coverage"": ""0.028644"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_1,left,29,NGIQ-BR-00000003,IFG_L_6_1,dorsal area 44,IFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,"Inferior Frontal Gyrus, Pars Opercularis","Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis",FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_1"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""dorsal area 44"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.96732"", ""top2_dk"": ""caudalmiddlefrontal"", ""top2_dk_coverage"": ""0.03268"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_1,right,30,NGIQ-BR-00000004,IFG_R_6_1,dorsal area 44,IFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,"Inferior Frontal Gyrus, Pars Opercularis","Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis",FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_R_6_1"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""dorsal area 44"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Right Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.72323"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.241379"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_2,left,31,NGIQ-BR-00000047,IFG_L_6_2,inferior frontal sulcus,IFG,composite,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT human scientific review,,,FALSE,FALSE,NULL,inferior frontal sulcus / IFS,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_2"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""inferior frontal sulcus"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.459574"", ""top2_dk"": ""parstriangularis"", ""top2_dk_coverage"": ""0.363121"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_2,right,32,NGIQ-BR-00000048,IFG_R_6_2,inferior frontal sulcus,IFG,composite,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT human scientific review,,,FALSE,FALSE,NULL,inferior frontal sulcus / IFS,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_R_6_2"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""inferior frontal sulcus"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parstriangularis"", ""top1_g1"": ""Right Inferior Frontal Gyrus, Pars Triangularis"", ""top1_g1_coverage"": ""0.726351"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.165541"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_3,left,33,NGIQ-BR-00000049,IFG_L_6_3,caudal area 45,IFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_3"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""caudal area 45"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.68541"", ""top2_dk"": ""parstriangularis"", ""top2_dk_coverage"": ""0.31459"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_3,right,34,NGIQ-BR-00000050,IFG_R_6_3,caudal area 45,IFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_R_6_3"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""caudal area 45"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Right Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.516605"", ""top2_dk"": ""parstriangularis"", ""top2_dk_coverage"": ""0.483395"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_4,left,35,NGIQ-BR-00000051,IFG_L_6_4,rostral area 45,IFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,"Inferior Frontal Gyrus, Pars Triangularis","Inferior Frontal Gyrus, Pars Triangularis;Rostral Middle Frontal Cortex",TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_4"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""rostral area 45"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parstriangularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Triangularis"", ""top1_g1_coverage"": ""0.92587"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.07413"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_4,right,36,NGIQ-BR-00000052,IFG_R_6_4,rostral area 45,IFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,"Inferior Frontal Gyrus, Pars Triangularis","Inferior Frontal Gyrus, Pars Triangularis;Rostral Middle Frontal Cortex",TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_R_6_4"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""rostral area 45"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parstriangularis"", ""top1_g1"": ""Right Inferior Frontal Gyrus, Pars Triangularis"", ""top1_g1_coverage"": ""1.0"", ""top2_dk"": """", ""top2_dk_coverage"": ""0"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_5,left,37,NGIQ-BR-00000053,IFG_L_6_5,opercular area 44,IFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_5"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""opercular area 44"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parstriangularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Triangularis"", ""top1_g1_coverage"": ""0.583855"", ""top2_dk"": ""parsopercularis"", ""top2_dk_coverage"": ""0.399443"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_5,right,38,NGIQ-BR-00000054,IFG_R_6_5,opercular area 44,IFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_R_6_5"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""opercular area 44"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parstriangularis"", ""top1_g1"": ""Right Inferior Frontal Gyrus, Pars Triangularis"", ""top1_g1_coverage"": ""0.530909"", ""top2_dk"": ""parsopercularis"", ""top2_dk_coverage"": ""0.437576"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
IFG_6_6,left,39,NGIQ-BR-00000055,IFG_L_6_6,ventral area 44,IFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,"Inferior Frontal Gyrus, Pars Opercularis","Inferior Frontal Gyrus, Pars Opercularis;Precentral Gyrus",FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""IFG_L_6_6"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventral area 44"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""parsopercularis"", ""top1_g1"": ""Left Inferior Frontal Gyrus, Pars Opercularis"", ""top1_g1_coverage"": ""0.992296"", ""top2_dk"": ""precentral"", ""top2_dk_coverage"": ""0.007704"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
